Source_ID,Site_Lat,Site_Lon,Magnitude,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth,Distance,Azimuth,RotD50_2s
1518,64.258409594681,-21.5341221991561,5.2,63.851100006441726,-20.331999999847184,7.47,74.34338703091444,-51.70503232392445,-2.439125737862605
189,64.258409594681,-21.5341221991561,5.3,63.87760000692455,-22.41500000035946,1.5,60.24847672434877,44.93373517136391,-1.7792513089684725
578,64.258409594681,-21.5341221991561,5.7,63.87660000655583,-22.11400000026171,4.65,51.17760038457816,33.330530585259055,-1.4145022159446716
163,64.258409594681,-21.5341221991561,5.3,63.84700000727214,-22.550000000421228,2.02,67.37587974023458,46.75750861299132,-2.008195767361648
567,64.258409594681,-21.5341221991561,5.6,63.86710000665262,-22.23500000029624,2.1,55.31325790025375,37.76061429999192,-1.5216711278928856
1564,64.258409594681,-21.5341221991561,5.4,63.97026541175093,-20.29570688829274,3.94,68.23627825269386,-61.38859520354941,-1.743032119420736
1226,64.258409594681,-21.5341221991561,5.1,63.86700000643987,-20.78099999994989,9.25,57.63114864459184,-39.74538924636023,-2.429396540575119
1290,64.258409594681,-21.5341221991561,5.4,64.06860000647833,-20.85199999996565,8.18,40.06235953955121,-57.13485149336502,-1.781438834876894
953,64.258409594681,-21.5341221991561,5.1,63.9835000064622,-21.18600000004292,1.2,34.94761120113568,-28.77340153661481,-1.3473937839979833
1528,64.258409594681,-21.5341221991561,5.2,64.12641949822428,-20.458799356858297,2.15,54.12654291961781,-73.7707970396286,-1.6349574952020631
222,64.258409594681,-21.5341221991561,5.4,63.88136572868528,-22.416542032112503,0.7,59.991763122593234,45.26587534880461,-1.5320304200901207
451,64.258409594681,-21.5341221991561,5.2,63.974100006496506,-21.922000000214425,4.44,37.0627126948355,30.602441969753,-1.827213846483294
1432,64.258409594681,-21.5341221991561,6.7,63.96160000645805,-21.12000000002764,5.4,39.02152611090546,-31.16469176941538,-0.2928992969549075
1432,64.258409594681,-21.5341221991561,6.7,63.88980724446034,-21.119693514286244,8.15,46.392328717882975,-25.990768626548977,-0.5483973535269567
184,64.258409594681,-21.5341221991561,5.3,63.80883516901413,-22.612384490986862,3.22,72.56050512734642,45.91680504843305,-2.185067734242361
1283,64.258409594681,-21.5341221991561,5.4,63.88726641573296,-21.08203401677016,5.65,47.09729930308294,-27.83595297131587,-1.833874042041284
1283,64.258409594681,-21.5341221991561,5.4,63.88726641573296,-21.08203401677016,6.5,47.20681202585255,-27.83595297131587,-1.5308402775640015
730,64.258409594681,-21.5341221991561,5.2,64.02687077885234,-21.643227098270884,3.89,26.570359707856205,11.564234065031776,-1.5890228549423102
103,64.258409594681,-21.5341221991561,5.2,63.85786787358395,-22.58155417368849,1.3,67.68384695434385,48.37163211527751,-2.0030063732165733
103,64.258409594681,-21.5341221991561,5.2,63.85786787358395,-22.58155417368849,2.0,67.70090943657287,48.37163211527751,-2.100422870320467
1124,64.258409594681,-21.5341221991561,5.9,63.925100006451046,-21.309000000071,6.77,39.231111731751135,-16.340605994590323,-0.9179820500849054
1754,64.258409594681,-21.5341221991561,7.1,64.0418882162835,-20.401465912913537,3.4,60.05545711276636,-65.81679941909454,-0.0692417967061293
616,64.258409594681,-21.5341221991561,5.9,63.90533854441088,-22.23686830994765,4.25,52.20992310245498,40.70661105646533,-1.5105800030302543
1345,64.258409594681,-21.5341221991561,5.7,63.97710000646099,-20.91799999998107,4.4,43.4989438950844,-43.43652730914626,-1.4394976525626944
464,64.258409594681,-21.5341221991561,5.2,63.89646929659472,-22.23243259920298,1.96,52.685477534683045,39.83155652596408,-1.9467777671501767
